,learner,dataset_id,non-monotone
0,sklearn.discriminant_analysis.LinearDiscriminantAnalysis,6,False
1,sklearn.discriminant_analysis.LinearDiscriminantAnalysis,11,False
2,sklearn.discriminant_analysis.LinearDiscriminantAnalysis,12,True
3,sklearn.discriminant_analysis.LinearDiscriminantAnalysis,14,True
4,sklearn.discriminant_analysis.LinearDiscriminantAnalysis,16,False
5,sklearn.discriminant_analysis.LinearDiscriminantAnalysis,18,True
6,sklearn.discriminant_analysis.LinearDiscriminantAnalysis,21,False
7,sklearn.discriminant_analysis.LinearDiscriminantAnalysis,22,True
8,sklearn.discriminant_analysis.LinearDiscriminantAnalysis,23,True
9,sklearn.discriminant_analysis.LinearDiscriminantAnalysis,26,False
10,sklearn.discriminant_analysis.LinearDiscriminantAnalysis,28,True
11,sklearn.discriminant_analysis.LinearDiscriminantAnalysis,30,True
12,sklearn.discriminant_analysis.LinearDiscriminantAnalysis,32,False
13,sklearn.discriminant_analysis.LinearDiscriminantAnalysis,36,False
14,sklearn.discriminant_analysis.LinearDiscriminantAnalysis,44,True
15,sklearn.discriminant_analysis.LinearDiscriminantAnalysis,54,True
16,sklearn.discriminant_analysis.LinearDiscriminantAnalysis,55,True
17,sklearn.discriminant_analysis.LinearDiscriminantAnalysis,60,True
18,sklearn.discriminant_analysis.LinearDiscriminantAnalysis,61,False
19,sklearn.discriminant_analysis.LinearDiscriminantAnalysis,181,True
20,sklearn.discriminant_analysis.LinearDiscriminantAnalysis,182,True
21,sklearn.discriminant_analysis.LinearDiscriminantAnalysis,185,True
22,sklearn.discriminant_analysis.LinearDiscriminantAnalysis,201,True
23,sklearn.discriminant_analysis.LinearDiscriminantAnalysis,273,True
24,sklearn.discriminant_analysis.LinearDiscriminantAnalysis,293,True
25,sklearn.discriminant_analysis.LinearDiscriminantAnalysis,299,True
26,sklearn.discriminant_analysis.LinearDiscriminantAnalysis,300,True
27,sklearn.discriminant_analysis.LinearDiscriminantAnalysis,346,True
28,sklearn.discriminant_analysis.LinearDiscriminantAnalysis,351,True
29,sklearn.discriminant_analysis.LinearDiscriminantAnalysis,354,True
30,sklearn.discriminant_analysis.LinearDiscriminantAnalysis,357,True
31,sklearn.discriminant_analysis.LinearDiscriminantAnalysis,380,False
32,sklearn.discriminant_analysis.LinearDiscriminantAnalysis,389,True
33,sklearn.discriminant_analysis.LinearDiscriminantAnalysis,390,True
34,sklearn.discriminant_analysis.LinearDiscriminantAnalysis,391,True
35,sklearn.discriminant_analysis.LinearDiscriminantAnalysis,392,False
36,sklearn.discriminant_analysis.LinearDiscriminantAnalysis,393,True
37,sklearn.discriminant_analysis.LinearDiscriminantAnalysis,395,True
38,sklearn.discriminant_analysis.LinearDiscriminantAnalysis,396,True
39,sklearn.discriminant_analysis.LinearDiscriminantAnalysis,398,True
40,sklearn.discriminant_analysis.LinearDiscriminantAnalysis,399,True
41,sklearn.discriminant_analysis.LinearDiscriminantAnalysis,401,False
42,sklearn.discriminant_analysis.LinearDiscriminantAnalysis,446,False
43,sklearn.discriminant_analysis.LinearDiscriminantAnalysis,554,True
44,sklearn.discriminant_analysis.LinearDiscriminantAnalysis,679,True
45,sklearn.discriminant_analysis.LinearDiscriminantAnalysis,715,True
46,sklearn.discriminant_analysis.LinearDiscriminantAnalysis,718,True
47,sklearn.discriminant_analysis.LinearDiscriminantAnalysis,720,True
48,sklearn.discriminant_analysis.LinearDiscriminantAnalysis,722,False
49,sklearn.discriminant_analysis.LinearDiscriminantAnalysis,723,True
50,sklearn.discriminant_analysis.LinearDiscriminantAnalysis,727,True
51,sklearn.discriminant_analysis.LinearDiscriminantAnalysis,728,True
52,sklearn.discriminant_analysis.LinearDiscriminantAnalysis,734,True
53,sklearn.discriminant_analysis.LinearDiscriminantAnalysis,735,True
54,sklearn.discriminant_analysis.LinearDiscriminantAnalysis,737,True
55,sklearn.discriminant_analysis.LinearDiscriminantAnalysis,740,True
56,sklearn.discriminant_analysis.LinearDiscriminantAnalysis,741,True
57,sklearn.discriminant_analysis.LinearDiscriminantAnalysis,743,True
58,sklearn.discriminant_analysis.LinearDiscriminantAnalysis,751,True
59,sklearn.discriminant_analysis.LinearDiscriminantAnalysis,752,True
60,sklearn.discriminant_analysis.LinearDiscriminantAnalysis,761,True
61,sklearn.discriminant_analysis.LinearDiscriminantAnalysis,772,True
62,sklearn.discriminant_analysis.LinearDiscriminantAnalysis,797,True
63,sklearn.discriminant_analysis.LinearDiscriminantAnalysis,799,True
64,sklearn.discriminant_analysis.LinearDiscriminantAnalysis,803,True
65,sklearn.discriminant_analysis.LinearDiscriminantAnalysis,806,True
66,sklearn.discriminant_analysis.LinearDiscriminantAnalysis,807,True
67,sklearn.discriminant_analysis.LinearDiscriminantAnalysis,813,True
68,sklearn.discriminant_analysis.LinearDiscriminantAnalysis,816,True
69,sklearn.discriminant_analysis.LinearDiscriminantAnalysis,819,False
70,sklearn.discriminant_analysis.LinearDiscriminantAnalysis,821,True
71,sklearn.discriminant_analysis.LinearDiscriminantAnalysis,822,True
72,sklearn.discriminant_analysis.LinearDiscriminantAnalysis,823,False
73,sklearn.discriminant_analysis.LinearDiscriminantAnalysis,833,True
74,sklearn.discriminant_analysis.LinearDiscriminantAnalysis,837,True
75,sklearn.discriminant_analysis.LinearDiscriminantAnalysis,843,True
76,sklearn.discriminant_analysis.LinearDiscriminantAnalysis,845,True
77,sklearn.discriminant_analysis.LinearDiscriminantAnalysis,846,True
