,learner,dataset_id,non-monotone,occurrences,significance
0,sklearn.linear_model.PassiveAggressiveClassifier,3,True,1,0.9584816763200295
1,sklearn.linear_model.PassiveAggressiveClassifier,6,True,1,0.8908666696579087
2,sklearn.linear_model.PassiveAggressiveClassifier,11,True,2,0.762161641460359
3,sklearn.linear_model.PassiveAggressiveClassifier,12,False,0,0.0
4,sklearn.linear_model.PassiveAggressiveClassifier,13,True,1,0.8797921632973174
5,sklearn.linear_model.PassiveAggressiveClassifier,14,True,1,0.9357269184867789
6,sklearn.linear_model.PassiveAggressiveClassifier,16,True,1,0.5570081499819247
7,sklearn.linear_model.PassiveAggressiveClassifier,18,True,1,0.7431336245256192
8,sklearn.linear_model.PassiveAggressiveClassifier,21,True,1,1.0
9,sklearn.linear_model.PassiveAggressiveClassifier,22,True,1,1.0
10,sklearn.linear_model.PassiveAggressiveClassifier,23,True,5,0.6377114387882197
11,sklearn.linear_model.PassiveAggressiveClassifier,24,False,0,0.0
12,sklearn.linear_model.PassiveAggressiveClassifier,26,True,4,0.8575799420572383
13,sklearn.linear_model.PassiveAggressiveClassifier,28,True,1,1.0
14,sklearn.linear_model.PassiveAggressiveClassifier,30,True,6,0.6019661051661492
15,sklearn.linear_model.PassiveAggressiveClassifier,31,True,1,1.0
16,sklearn.linear_model.PassiveAggressiveClassifier,32,True,4,0.7421104038260744
17,sklearn.linear_model.PassiveAggressiveClassifier,36,True,1,0.3332602947835868
18,sklearn.linear_model.PassiveAggressiveClassifier,38,True,2,0.8989141620985873
19,sklearn.linear_model.PassiveAggressiveClassifier,44,True,2,0.45247581104154827
20,sklearn.linear_model.PassiveAggressiveClassifier,46,True,1,0.5842018650575825
21,sklearn.linear_model.PassiveAggressiveClassifier,54,True,2,0.8819964917875934
22,sklearn.linear_model.PassiveAggressiveClassifier,55,True,2,1.0
23,sklearn.linear_model.PassiveAggressiveClassifier,57,True,2,1.0
24,sklearn.linear_model.PassiveAggressiveClassifier,60,True,2,1.0
25,sklearn.linear_model.PassiveAggressiveClassifier,61,True,1,0.3011740824052228
26,sklearn.linear_model.PassiveAggressiveClassifier,179,True,4,0.8469283811314843
27,sklearn.linear_model.PassiveAggressiveClassifier,180,True,6,0.4104457292951292
28,sklearn.linear_model.PassiveAggressiveClassifier,181,True,3,0.5785137370657495
29,sklearn.linear_model.PassiveAggressiveClassifier,182,True,2,0.9438004917456977
30,sklearn.linear_model.PassiveAggressiveClassifier,184,True,1,0.9935760282509347
31,sklearn.linear_model.PassiveAggressiveClassifier,185,True,3,0.4883824182329443
32,sklearn.linear_model.PassiveAggressiveClassifier,188,True,1,0.920357993393255
33,sklearn.linear_model.PassiveAggressiveClassifier,201,True,5,0.5339948548327812
34,sklearn.linear_model.PassiveAggressiveClassifier,273,True,1,0.9847680084280759
35,sklearn.linear_model.PassiveAggressiveClassifier,293,True,6,0.40414524737238516
36,sklearn.linear_model.PassiveAggressiveClassifier,299,True,3,0.5577795696374648
37,sklearn.linear_model.PassiveAggressiveClassifier,300,True,1,0.2598566308243955
38,sklearn.linear_model.PassiveAggressiveClassifier,336,True,2,0.4610181932574836
39,sklearn.linear_model.PassiveAggressiveClassifier,346,True,1,0.8003200000000004
40,sklearn.linear_model.PassiveAggressiveClassifier,351,True,5,0.36006714961963715
41,sklearn.linear_model.PassiveAggressiveClassifier,354,True,2,0.9561364947660519
42,sklearn.linear_model.PassiveAggressiveClassifier,357,True,4,0.9311222746223771
43,sklearn.linear_model.PassiveAggressiveClassifier,380,False,0,0.0
44,sklearn.linear_model.PassiveAggressiveClassifier,389,True,1,0.3333333333332948
45,sklearn.linear_model.PassiveAggressiveClassifier,390,True,3,0.27317073170730516
46,sklearn.linear_model.PassiveAggressiveClassifier,391,True,1,0.8585209003215366
47,sklearn.linear_model.PassiveAggressiveClassifier,392,False,0,0.0
48,sklearn.linear_model.PassiveAggressiveClassifier,393,True,1,0.5833333333346825
49,sklearn.linear_model.PassiveAggressiveClassifier,395,True,2,0.6652329749104127
50,sklearn.linear_model.PassiveAggressiveClassifier,396,True,1,1.0
51,sklearn.linear_model.PassiveAggressiveClassifier,398,True,3,1.0
52,sklearn.linear_model.PassiveAggressiveClassifier,399,True,1,0.5000000000017347
53,sklearn.linear_model.PassiveAggressiveClassifier,401,False,0,0.0
54,sklearn.linear_model.PassiveAggressiveClassifier,446,False,0,0.0
55,sklearn.linear_model.PassiveAggressiveClassifier,554,True,1,0.96979061553986
56,sklearn.linear_model.PassiveAggressiveClassifier,679,True,4,0.5110826939471453
57,sklearn.linear_model.PassiveAggressiveClassifier,715,True,1,0.9740004302529274
58,sklearn.linear_model.PassiveAggressiveClassifier,718,True,1,0.8892368648943618
59,sklearn.linear_model.PassiveAggressiveClassifier,720,True,4,0.7492071236887046
60,sklearn.linear_model.PassiveAggressiveClassifier,722,True,4,0.17046403435524282
61,sklearn.linear_model.PassiveAggressiveClassifier,723,True,1,0.9735776315277075
62,sklearn.linear_model.PassiveAggressiveClassifier,727,True,4,0.9655895929500625
63,sklearn.linear_model.PassiveAggressiveClassifier,728,True,2,0.9677472572795511
64,sklearn.linear_model.PassiveAggressiveClassifier,734,True,3,0.40020941689410733
65,sklearn.linear_model.PassiveAggressiveClassifier,735,True,4,1.0
66,sklearn.linear_model.PassiveAggressiveClassifier,737,True,2,0.6967775803585861
67,sklearn.linear_model.PassiveAggressiveClassifier,740,True,2,0.8100747899567771
68,sklearn.linear_model.PassiveAggressiveClassifier,741,True,2,0.8736753456382905
69,sklearn.linear_model.PassiveAggressiveClassifier,743,True,2,0.6819701233215616
70,sklearn.linear_model.PassiveAggressiveClassifier,751,True,1,0.9885441774874946
71,sklearn.linear_model.PassiveAggressiveClassifier,752,True,3,0.903326303680982
72,sklearn.linear_model.PassiveAggressiveClassifier,761,True,4,0.5925618177129603
73,sklearn.linear_model.PassiveAggressiveClassifier,772,True,3,0.8305747629923969
74,sklearn.linear_model.PassiveAggressiveClassifier,797,True,1,0.9626313237433334
75,sklearn.linear_model.PassiveAggressiveClassifier,799,True,1,1.0
76,sklearn.linear_model.PassiveAggressiveClassifier,803,True,1,0.24612794612794606
77,sklearn.linear_model.PassiveAggressiveClassifier,806,True,1,0.9588995584515799
78,sklearn.linear_model.PassiveAggressiveClassifier,807,True,1,0.9576139706338667
79,sklearn.linear_model.PassiveAggressiveClassifier,813,True,2,0.7904634721131184
80,sklearn.linear_model.PassiveAggressiveClassifier,816,True,3,0.5759415615216774
81,sklearn.linear_model.PassiveAggressiveClassifier,819,True,3,1.0
82,sklearn.linear_model.PassiveAggressiveClassifier,821,True,6,0.46725400390909894
83,sklearn.linear_model.PassiveAggressiveClassifier,822,True,5,0.6232459700800178
84,sklearn.linear_model.PassiveAggressiveClassifier,823,True,6,0.4865175668173527
85,sklearn.linear_model.PassiveAggressiveClassifier,833,True,4,0.5447370123568608
86,sklearn.linear_model.PassiveAggressiveClassifier,837,True,1,0.9566388251877723
87,sklearn.linear_model.PassiveAggressiveClassifier,843,True,5,0.7179571845247901
88,sklearn.linear_model.PassiveAggressiveClassifier,845,True,2,0.9062612914881535
89,sklearn.linear_model.PassiveAggressiveClassifier,846,True,4,1.0
90,sklearn.linear_model.PassiveAggressiveClassifier,847,True,4,0.7330689184578647
91,sklearn.linear_model.PassiveAggressiveClassifier,849,True,1,0.9861748826883295
92,sklearn.linear_model.PassiveAggressiveClassifier,866,True,1,0.9719147215847611
93,sklearn.linear_model.PassiveAggressiveClassifier,871,True,4,0.48523643364216124
94,sklearn.linear_model.PassiveAggressiveClassifier,881,True,5,0.1914550090750166
95,sklearn.linear_model.PassiveAggressiveClassifier,897,False,0,0.0
96,sklearn.linear_model.PassiveAggressiveClassifier,901,True,6,0.6800403272002381
97,sklearn.linear_model.PassiveAggressiveClassifier,903,True,1,0.9415958233723909
98,sklearn.linear_model.PassiveAggressiveClassifier,904,True,1,0.9264966661937867
99,sklearn.linear_model.PassiveAggressiveClassifier,910,True,2,0.9097116750015437
100,sklearn.linear_model.PassiveAggressiveClassifier,912,True,3,0.7488807255194588
101,sklearn.linear_model.PassiveAggressiveClassifier,913,True,2,0.9135891211614149
102,sklearn.linear_model.PassiveAggressiveClassifier,914,True,3,0.7169105069328445
103,sklearn.linear_model.PassiveAggressiveClassifier,917,True,1,0.9449363557989754
104,sklearn.linear_model.PassiveAggressiveClassifier,923,True,2,0.08782725093648505
105,sklearn.linear_model.PassiveAggressiveClassifier,930,True,5,0.49306583560576506
106,sklearn.linear_model.PassiveAggressiveClassifier,934,True,2,1.0
107,sklearn.linear_model.PassiveAggressiveClassifier,953,True,1,0.789918352857649
108,sklearn.linear_model.PassiveAggressiveClassifier,958,False,0,0.0
109,sklearn.linear_model.PassiveAggressiveClassifier,959,False,0,0.0
110,sklearn.linear_model.PassiveAggressiveClassifier,962,True,2,0.5567527891955371
111,sklearn.linear_model.PassiveAggressiveClassifier,966,True,4,0.591902873174035
112,sklearn.linear_model.PassiveAggressiveClassifier,971,False,0,0.0
113,sklearn.linear_model.PassiveAggressiveClassifier,976,True,3,0.44888282872106616
114,sklearn.linear_model.PassiveAggressiveClassifier,977,True,5,0.8497544352009596
115,sklearn.linear_model.PassiveAggressiveClassifier,978,True,1,0.2777143038496946
116,sklearn.linear_model.PassiveAggressiveClassifier,979,True,1,0.9205153693225265
117,sklearn.linear_model.PassiveAggressiveClassifier,980,True,1,1.0
118,sklearn.linear_model.PassiveAggressiveClassifier,991,True,1,0.9591177724974119
119,sklearn.linear_model.PassiveAggressiveClassifier,993,True,1,0.7892468705109693
120,sklearn.linear_model.PassiveAggressiveClassifier,995,True,3,0.40342405618961175
121,sklearn.linear_model.PassiveAggressiveClassifier,1000,True,4,0.9090632371965592
122,sklearn.linear_model.PassiveAggressiveClassifier,1002,True,2,0.9888153335085924
123,sklearn.linear_model.PassiveAggressiveClassifier,1018,True,2,0.8425244864514645
124,sklearn.linear_model.PassiveAggressiveClassifier,1019,True,4,0.599897606553179
125,sklearn.linear_model.PassiveAggressiveClassifier,1020,True,1,0.2026612077789177
126,sklearn.linear_model.PassiveAggressiveClassifier,1021,True,4,0.9798791699500923
127,sklearn.linear_model.PassiveAggressiveClassifier,1036,True,4,0.5975554549569875
128,sklearn.linear_model.PassiveAggressiveClassifier,1040,True,3,0.8912898195589248
129,sklearn.linear_model.PassiveAggressiveClassifier,1041,True,1,0.4967799910139273
130,sklearn.linear_model.PassiveAggressiveClassifier,1042,True,1,0.8676551881117283
131,sklearn.linear_model.PassiveAggressiveClassifier,1049,True,3,0.6143369136759693
132,sklearn.linear_model.PassiveAggressiveClassifier,1050,True,4,0.6503365955761724
133,sklearn.linear_model.PassiveAggressiveClassifier,1053,True,5,0.770972341032221
134,sklearn.linear_model.PassiveAggressiveClassifier,1056,True,4,0.29700740105116524
135,sklearn.linear_model.PassiveAggressiveClassifier,1067,True,4,0.6769612146878073
136,sklearn.linear_model.PassiveAggressiveClassifier,1068,True,2,0.8997827088957648
137,sklearn.linear_model.PassiveAggressiveClassifier,1069,True,2,0.4006068177761846
138,sklearn.linear_model.PassiveAggressiveClassifier,1083,True,1,0.7666725282454827
139,sklearn.linear_model.PassiveAggressiveClassifier,1084,True,2,1.0
140,sklearn.linear_model.PassiveAggressiveClassifier,1085,True,2,0.9114702404414669
141,sklearn.linear_model.PassiveAggressiveClassifier,1086,True,1,0.5908082754608593
142,sklearn.linear_model.PassiveAggressiveClassifier,1087,True,1,0.8560021293585289
143,sklearn.linear_model.PassiveAggressiveClassifier,1088,False,0,0.0
144,sklearn.linear_model.PassiveAggressiveClassifier,1111,True,1,0.9877133105802207
145,sklearn.linear_model.PassiveAggressiveClassifier,1112,True,1,0.8374919337491951
146,sklearn.linear_model.PassiveAggressiveClassifier,1114,True,1,0.4796322308772852
147,sklearn.linear_model.PassiveAggressiveClassifier,1116,True,1,0.9224108070661606
148,sklearn.linear_model.PassiveAggressiveClassifier,1119,True,4,0.7830292598967291
149,sklearn.linear_model.PassiveAggressiveClassifier,1120,True,5,0.9095185327574126
150,sklearn.linear_model.PassiveAggressiveClassifier,1128,True,3,0.6649774774774602
151,sklearn.linear_model.PassiveAggressiveClassifier,1130,True,2,0.7663043478260531
152,sklearn.linear_model.PassiveAggressiveClassifier,1134,True,2,0.49452554744522487
153,sklearn.linear_model.PassiveAggressiveClassifier,1138,True,3,0.8886612021857943
154,sklearn.linear_model.PassiveAggressiveClassifier,1139,True,3,1.0
155,sklearn.linear_model.PassiveAggressiveClassifier,1142,True,5,0.781829814459376
156,sklearn.linear_model.PassiveAggressiveClassifier,1146,True,2,0.3618421052631561
157,sklearn.linear_model.PassiveAggressiveClassifier,1161,True,2,0.9765342960288736
158,sklearn.linear_model.PassiveAggressiveClassifier,1166,True,2,0.5536221590909182
159,sklearn.linear_model.PassiveAggressiveClassifier,1216,True,7,0.7983304103823208
160,sklearn.linear_model.PassiveAggressiveClassifier,1233,True,3,0.9158652910258908
161,sklearn.linear_model.PassiveAggressiveClassifier,1235,True,8,0.7880456273764266
162,sklearn.linear_model.PassiveAggressiveClassifier,1236,False,0,0.0
163,sklearn.linear_model.PassiveAggressiveClassifier,1441,True,1,0.3307822514141867
164,sklearn.linear_model.PassiveAggressiveClassifier,1448,True,1,0.774383742081165
165,sklearn.linear_model.PassiveAggressiveClassifier,1450,True,1,1.0
166,sklearn.linear_model.PassiveAggressiveClassifier,1457,True,1,0.339807046979866
167,sklearn.linear_model.PassiveAggressiveClassifier,1461,True,6,0.557859173651368
168,sklearn.linear_model.PassiveAggressiveClassifier,1464,True,2,0.6856815906165069
169,sklearn.linear_model.PassiveAggressiveClassifier,1465,True,1,0.9072391317554958
170,sklearn.linear_model.PassiveAggressiveClassifier,1468,True,2,0.735785953177198
171,sklearn.linear_model.PassiveAggressiveClassifier,1475,True,1,0.9717254962939927
172,sklearn.linear_model.PassiveAggressiveClassifier,1477,True,3,0.3150436645246334
173,sklearn.linear_model.PassiveAggressiveClassifier,1479,True,2,0.18865426162101864
174,sklearn.linear_model.PassiveAggressiveClassifier,1483,True,6,0.6756443636091837
175,sklearn.linear_model.PassiveAggressiveClassifier,1485,True,4,0.9020520414639305
