,learner,dataset_id,non-monotone
93,sklearn.discriminant_analysis.LinearDiscriminantAnalysis,917,True
94,sklearn.discriminant_analysis.LinearDiscriminantAnalysis,966,True
95,sklearn.discriminant_analysis.LinearDiscriminantAnalysis,991,True
96,sklearn.discriminant_analysis.LinearDiscriminantAnalysis,1448,True
97,sklearn.discriminant_analysis.LinearDiscriminantAnalysis,1450,True
98,sklearn.discriminant_analysis.LinearDiscriminantAnalysis,1465,True
99,sklearn.discriminant_analysis.LinearDiscriminantAnalysis,1488,True
100,sklearn.discriminant_analysis.LinearDiscriminantAnalysis,1489,True
101,sklearn.discriminant_analysis.LinearDiscriminantAnalysis,1499,True
102,sklearn.discriminant_analysis.LinearDiscriminantAnalysis,40971,True
103,sklearn.discriminant_analysis.LinearDiscriminantAnalysis,40975,True
104,sklearn.discriminant_analysis.LinearDiscriminantAnalysis,40981,True
105,sklearn.linear_model.LogisticRegression,11,True
106,sklearn.linear_model.LogisticRegression,13,True
107,sklearn.linear_model.LogisticRegression,31,True
108,sklearn.linear_model.LogisticRegression,55,True
109,sklearn.linear_model.LogisticRegression,61,True
110,sklearn.linear_model.LogisticRegression,336,True
111,sklearn.linear_model.LogisticRegression,346,False
112,sklearn.linear_model.LogisticRegression,380,True
113,sklearn.linear_model.LogisticRegression,446,True
114,sklearn.linear_model.LogisticRegression,679,True
115,sklearn.linear_model.LogisticRegression,715,True
116,sklearn.linear_model.LogisticRegression,718,True
117,sklearn.linear_model.LogisticRegression,720,True
118,sklearn.linear_model.LogisticRegression,723,True
119,sklearn.linear_model.LogisticRegression,728,True
120,sklearn.linear_model.LogisticRegression,737,True
121,sklearn.linear_model.LogisticRegression,740,True
122,sklearn.linear_model.LogisticRegression,741,True
123,sklearn.linear_model.LogisticRegression,743,True
124,sklearn.linear_model.LogisticRegression,751,True
125,sklearn.linear_model.LogisticRegression,772,True
126,sklearn.linear_model.LogisticRegression,797,True
127,sklearn.linear_model.LogisticRegression,799,True
128,sklearn.linear_model.LogisticRegression,803,True
129,sklearn.linear_model.LogisticRegression,806,True
130,sklearn.linear_model.LogisticRegression,807,True
131,sklearn.linear_model.LogisticRegression,813,True
132,sklearn.linear_model.LogisticRegression,816,True
133,sklearn.linear_model.LogisticRegression,821,True
134,sklearn.linear_model.LogisticRegression,837,True
135,sklearn.linear_model.LogisticRegression,845,True
136,sklearn.linear_model.LogisticRegression,849,True
137,sklearn.linear_model.LogisticRegression,866,True
138,sklearn.linear_model.LogisticRegression,871,True
139,sklearn.linear_model.LogisticRegression,897,True
140,sklearn.linear_model.LogisticRegression,903,True
141,sklearn.linear_model.LogisticRegression,904,True
142,sklearn.linear_model.LogisticRegression,910,True
143,sklearn.linear_model.LogisticRegression,912,True
144,sklearn.linear_model.LogisticRegression,913,True
145,sklearn.linear_model.LogisticRegression,914,True
146,sklearn.linear_model.LogisticRegression,917,True
147,sklearn.linear_model.LogisticRegression,934,True
148,sklearn.linear_model.LogisticRegression,959,False
149,sklearn.linear_model.LogisticRegression,962,True
150,sklearn.linear_model.LogisticRegression,966,True
151,sklearn.linear_model.LogisticRegression,971,True
152,sklearn.linear_model.LogisticRegression,979,True
153,sklearn.linear_model.LogisticRegression,991,True
154,sklearn.linear_model.LogisticRegression,1020,False
155,sklearn.linear_model.LogisticRegression,1049,True
156,sklearn.linear_model.LogisticRegression,1441,True
157,sklearn.linear_model.LogisticRegression,1448,True
158,sklearn.linear_model.LogisticRegression,1450,True
159,sklearn.linear_model.LogisticRegression,1464,True
160,sklearn.linear_model.LogisticRegression,1465,True
161,sklearn.linear_model.LogisticRegression,1488,True
162,sklearn.linear_model.LogisticRegression,1489,True
163,sklearn.linear_model.LogisticRegression,1494,True
164,sklearn.linear_model.LogisticRegression,40981,True
165,sklearn.linear_model.LogisticRegression,40994,True
166,sklearn.linear_model.SGDClassifier,3,True
167,sklearn.linear_model.SGDClassifier,11,True
168,sklearn.linear_model.SGDClassifier,13,True
169,sklearn.linear_model.SGDClassifier,21,True
170,sklearn.linear_model.SGDClassifier,24,True
171,sklearn.linear_model.SGDClassifier,31,True
172,sklearn.linear_model.SGDClassifier,55,True
173,sklearn.linear_model.SGDClassifier,61,False
174,sklearn.linear_model.SGDClassifier,336,True
175,sklearn.linear_model.SGDClassifier,346,True
176,sklearn.linear_model.SGDClassifier,380,False
177,sklearn.linear_model.SGDClassifier,446,False
178,sklearn.linear_model.SGDClassifier,715,True
179,sklearn.linear_model.SGDClassifier,723,True
180,sklearn.linear_model.SGDClassifier,740,True
181,sklearn.linear_model.SGDClassifier,741,True
182,sklearn.linear_model.SGDClassifier,743,True
183,sklearn.linear_model.SGDClassifier,751,True
184,sklearn.linear_model.SGDClassifier,772,True
185,sklearn.linear_model.SGDClassifier,799,True
186,sklearn.linear_model.SGDClassifier,806,True
187,sklearn.linear_model.SGDClassifier,813,True
188,sklearn.linear_model.SGDClassifier,845,True
189,sklearn.linear_model.SGDClassifier,849,True
190,sklearn.linear_model.SGDClassifier,866,True
191,sklearn.linear_model.SGDClassifier,897,True
192,sklearn.linear_model.SGDClassifier,903,True
193,sklearn.linear_model.SGDClassifier,904,True
194,sklearn.linear_model.SGDClassifier,910,True
195,sklearn.linear_model.SGDClassifier,912,True
196,sklearn.linear_model.SGDClassifier,913,True
197,sklearn.linear_model.SGDClassifier,914,True
198,sklearn.linear_model.SGDClassifier,917,True
199,sklearn.linear_model.SGDClassifier,934,True
200,sklearn.linear_model.SGDClassifier,958,True
201,sklearn.linear_model.SGDClassifier,959,True
202,sklearn.linear_model.SGDClassifier,962,True
203,sklearn.linear_model.SGDClassifier,966,True
204,sklearn.linear_model.SGDClassifier,971,True
205,sklearn.linear_model.SGDClassifier,991,True
206,sklearn.linear_model.SGDClassifier,995,True
207,sklearn.linear_model.SGDClassifier,1020,True
208,sklearn.linear_model.SGDClassifier,1021,True
209,sklearn.linear_model.SGDClassifier,1049,True
210,sklearn.linear_model.SGDClassifier,1050,True
211,sklearn.linear_model.SGDClassifier,1053,True
212,sklearn.linear_model.SGDClassifier,1056,True
213,sklearn.linear_model.SGDClassifier,1067,True
214,sklearn.linear_model.SGDClassifier,1068,True
215,sklearn.linear_model.SGDClassifier,1069,True
216,sklearn.linear_model.SGDClassifier,1441,True
217,sklearn.linear_model.SGDClassifier,1448,True
218,sklearn.linear_model.SGDClassifier,1450,True
219,sklearn.linear_model.SGDClassifier,1464,True
220,sklearn.linear_model.SGDClassifier,1465,True
221,sklearn.linear_model.SGDClassifier,1479,True
222,sklearn.linear_model.SGDClassifier,1488,True
223,sklearn.linear_model.SGDClassifier,1494,True
224,sklearn.linear_model.SGDClassifier,1499,False
225,sklearn.linear_model.SGDClassifier,1566,True
226,sklearn.linear_model.SGDClassifier,40981,True
227,sklearn.linear_model.SGDClassifier,40994,True
